Bedrooms,Bathrooms,Location,Price
3,3.0,Parklands,28000000
1,1.0,Lavington,6500000
2,1.0,Ngong Road,5400000
1,1.0,Ngong Road,4000000
3,3.0,Mombasa Road,7000000
2,1.0,Mombasa Road,5900000
3,4.0,Riverside,19000000
3,4.0,Riverside,17000000
1,1.0,Riverside,12500000
1,1.0,Riverside,8000000
2,1.0,Riverside,7900000
2,2.0,Riverside,13000000
3,3.0,Westlands,11800000
3,4.0,Westlands,22000000
2,2.0,Westlands,9000000
2,2.0,Westlands,10500000
2,1.0,Westlands,7900000
1,1.0,Westlands,6000000
1,1.0,Westlands,5000000
4,5.0,Kileleshwa,21000000
0,1.0,Mombasa Road,3650000
1,1.0,Westlands,6800000
5,6.0,Kilimani,35000000
4,5.0,Kileleshwa,20000000
3,3.0,Kileleshwa,11000000
3,3.0,Kileleshwa,13000000
2,1.0,Kileleshwa,7000000
2,1.0,Kileleshwa,6900000
1,1.0,Kileleshwa,4000000
1,1.0,Kileleshwa,5000000
4,5.0,Kilimani,31000000
4,4.0,Kilimani,13000000
4,5.0,Kilimani,17000000
3,3.0,Kilimani,11000000
1,1.0,Parklands,6500000
2,1.0,Kilimani,7000000
2,1.0,Kilimani,6800000
2,2.0,Kilimani,6900000
3,3.0,Lavington,13000000
2,1.0,Westlands,11850000
3,4.0,Kileleshwa,11800000
3,3.0,Lavington,11000000
2,1.0,Lavington,7000000
2,2.0,Lavington,6900000
2,2.0,Lavington,7000000
1,1.0,Kileleshwa,6000000
3,4.0,Kilimani,24000000
3,3.0,Kileleshwa,11500000
1,1.0,Lower Kabete,4200000
1,1.0,Lower Kabete,4200000
2,2.0,Lavington,26000000
3,3.0,Kileleshwa,30000000
2,2.0,Kileleshwa,8500000
3,3.0,Kileleshwa,16000000
3,3.0,Westlands,16000000
4,4.0,Kilimani,14600000
3,3.0,Kilimani,12000000
0,1.0,Ngong Road,1900000
0,1.0,Dagoretti,1900000
2,2.0,Kilimani,8780000
3,5.0,Lavington,20000000
0,1.0,Kilimani,1900000
1,1.0,Westlands,6500000
2,2.0,Westlands,8000000
1,1.0,Westlands,5500000
2,2.0,Kilimani,16100000
4,4.0,Westlands,14000000
3,4.0,Lavington,22500000
3,3.0,Kileleshwa,13000000
3,3.0,Lavington,13000000
2,2.0,Lavington,10800000
2,2.0,Lavington,8500000
2,2.0,Westlands,10000000
3,3.0,Westlands,15000000
2,2.0,Westlands,11700000
1,1.0,Westlands,5500000
2,2.0,Westlands,8000000
2,2.0,Westlands,11700000
2,2.0,Westlands,12000000
4,4.0,Westlands,21200000
3,4.0,Westlands,22000000
3,3.0,Riverside,39000000
2,2.0,Kilimani,12750000
2,2.0,Westlands,18000000
2,2.0,Kilimani,7800000
2,2.0,Kilimani,8600000
2,2.0,Kilimani,8500000
0,1.0,Kilimani,5000000
2,2.0,Kilimani,7500000
4,4.0,Kileleshwa,22000000
4,5.0,Kileleshwa,23000000
2,2.0,Kileleshwa,7800000
3,4.0,Kileleshwa,15500000
3,3.0,Parklands,12000000
3,4.0,Westlands,23200000
