Bedrooms,Bathrooms,Location,Price
3,3.0,"Parklands, Westlands",28000000
1,1.0,Lavington,6500000
0,1.0,"Ngara, Parklands, Westlands",2700000
2,1.0,Ngong Road,5400000
1,1.0,Ngong Road,4000000
3,3.0,Mombasa Road,7000000
2,1.0,"Athiriver, Mombasa Road",5000000
3,2.0,"Athiriver, Mombasa Road",7200000
2,1.0,"Syokimau, Mombasa Road",5900000
3,4.0,"Riverside, Westlands",19000000
3,4.0,"Riverside, Westlands",17000000
1,1.0,"Riverside, Westlands",12500000
1,1.0,"Riverside, Westlands",8000000
2,1.0,"Riverside, Westlands",7900000
2,2.0,"Riverside, Westlands",13000000
3,3.0,"Westlands Area, Westlands",11800000
3,3.0,"Westlands Area, Westlands",11800000
3,4.0,"Westlands Area, Westlands",22000000
2,2.0,"Westlands Area, Westlands",9000000
2,2.0,"Westlands Area, Westlands",10500000
2,1.0,"Westlands Area, Westlands",7900000
1,1.0,"Westlands Area, Westlands",6000000
1,1.0,"Westlands Area, Westlands",5000000
1,1.0,"Westlands Area, Westlands",6000000
4,5.0,Kileleshwa,21000000
0,1.0,"Syokimau Near 67 Airport Hotel, Mombasa Road",3650000
1,1.0,"Westlands Area, Westlands",6800000
5,6.0,Kilimani,35000000
4,5.0,Kileleshwa,20000000
4,5.0,Kileleshwa,20000000
3,3.0,Kileleshwa,11000000
3,3.0,Kileleshwa,13000000
3,3.0,Kileleshwa,11000000
2,1.0,Kileleshwa,7000000
2,1.0,Kileleshwa,6900000
2,1.0,Kileleshwa,7000000
1,1.0,Kileleshwa,4000000
1,1.0,Kileleshwa,4000000
1,1.0,Kileleshwa,5000000
4,5.0,Kilimani,31000000
4,4.0,Kilimani,13000000
4,5.0,Kilimani,17000000
3,3.0,Kilimani,11000000
3,3.0,Kilimani,11000000
3,3.0,Kilimani,11000000
1,1.0,"3rd Parklands, Parklands, Westlands",6500000
2,1.0,Kilimani,7000000
2,1.0,Kilimani,6800000
2,2.0,Kilimani,6900000
3,3.0,Lavington,13000000
2,1.0,"Westlands Area, Westlands",11850000
3,4.0,"Nyeri Road, Kileleshwa",11800000
3,4.0,Upper Hill,25000000
3,3.0,Lavington,11000000
3,3.0,Lavington,11000000
2,1.0,Lavington,7000000
2,2.0,Lavington,6900000
2,2.0,Lavington,7000000
3,,"Westlands Area, Westlands",35500000
0,,"KILIMANI, Kilimani",5000000
1,1.0,"KILELESHWA, Kileleshwa",6000000
3,4.0,Kilimani,24000000
3,3.0,"KILELESHWA, Kileleshwa",11500000
1,1.0,"119, Kibichiku, Lower Kabete, Westlands",4200000
1,1.0,"119, KIBICHIKU, Lower Kabete, Westlands",4200000
2,2.0,Lavington,26000000
3,3.0,Kileleshwa,30000000
2,2.0,"KILELESHWA, Kileleshwa",8500000
3,3.0,"KILELESHWA, Kileleshwa",16000000
3,3.0,"WESTLANDS, Westlands Area, Westlands",16000000
3,3.0,"KAREN, Karen",16000000
4,4.0,"KILIMANI, Kilimani",14600000
3,3.0,"KILIMANI, Kilimani",12000000
0,1.0,"NGONG ROAD, NGONG ROAD, Ngong Road",1900000
0,1.0,"NGONG ROAD, Dagoretti Corner",1900000
2,2.0,Kilimani,8780000
3,5.0,Lavington,20000000
1,,"Westlands Area, Westlands",9120000
0,1.0,"NGONG ROAD, Kilimani",1900000
1,1.0,"GTC, WESTLANDS, Westlands Area, Westlands",6500000
2,2.0,"GTC, WESTLANDS, Westlands Area, Westlands",8000000
1,1.0,"Westlands, Westlands Area, Westlands",5500000
2,2.0,Kilimani,16100000
4,4.0,"Westlands, WESTLANDS, Westlands Area, Westlands",14000000
3,4.0,"LAVINGTON, Lavington",22500000
3,3.0,"KILELESHWA, Kileleshwa",13000000
3,3.0,"LAVINGTON, Lavington",13000000
2,2.0,"LAVINGTON, Lavington",10800000
2,2.0,"LAVINGTON, Lavington",8500000
2,2.0,"Westlands, WESTLANDS, Westlands Area, Westlands",10000000
3,3.0,"GTC, WESTLANDS, Westlands Area, Westlands",15000000
2,2.0,"GTC, WESTLANDS, Westlands Area, Westlands",11700000
1,1.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",5500000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",8000000
2,2.0,"WESTLANDS, Westlands Area, Westlands",11700000
2,2.0,"WESTLANDS, WESTANDS, Westlands Area, Westlands",12000000
4,4.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",21200000
3,4.0,"General Mathenge, Westlands",22000000
3,3.0,"Riverside, Westlands",39000000
2,2.0,"Kindaruma Road, Kilimani",12750000
2,2.0,"Westlands Area, Westlands",18000000
3,4.0,Kilimani,24000000
2,2.0,"Off Wood Avenue Lenana, Kilimani",7800000
2,2.0,"KILIMANI, Kilimani",8600000
2,2.0,"KILIMANI, Kilimani",8500000
0,1.0,"KILIMANI, Kilimani",5000000
2,2.0,"KILIMANI, Kilimani",7500000
4,4.0,"KILELESHWA, Kileleshwa",22000000
4,5.0,"KILELESHWA, Kileleshwa",23000000
2,2.0,"KILELESHWA, Kileleshwa",7800000
3,4.0,"KILELESHWA, Kileleshwa",15500000
3,3.0,"3rd Parklands, Parklands, Westlands",12000000
3,4.0,"Westlands Area, Westlands",23200000
2,2.0,Kilimani,9500000
3,4.0,Kileleshwa,20500000
3,3.0,Kileleshwa,17500000
3,3.0,Kileleshwa,27000000
3,3.0,"Riverside, Westlands",35000000
4,5.0,"Westlands, Spring Valley",35500000
3,3.0,"Westlands Area, Westlands",22000000
2,2.0,"Westlands Area, Westlands",11000000
2,3.0,Kilimani,10500000
2,2.0,"Westlands Area, Westlands",7900000
4,5.0,Kilimani,26000000
4,4.0,Kilimani,13000000
4,4.0,Lavington,21000000
3,4.0,Kileleshwa,24000000
2,2.0,Kileleshwa,9500000
2,1.0,Kilimani,7000000
2,1.0,Kilimani,6900000
1,1.0,Kilimani,4500000
1,1.0,Kilimani,4000000
3,3.0,Kileleshwa,11000000
3,3.0,Kileleshwa,13000000
2,2.0,Kileleshwa,7000000
4,5.0,Lavington,20000000
4,5.0,Lavington,20000000
4,5.0,Lavington,20000000
3,3.0,Lavington,13000000
2,1.0,Lavington,7000000
3,4.0,"KILELESHWA, Kileleshwa",22200000
4,5.0,"KILELESHWA, Kileleshwa",24500000
3,4.0,"KILELESHWA, Kileleshwa",19500000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",12500000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",11900000
4,4.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",21200000
4,4.0,"WESTLANDS, Westlands Area, Westlands",14500000
4,4.0,"KILIMANI, Kilimani",14800000
2,2.0,"KILIMANI, Kilimani",7500000
4,4.0,"KILIMANI, Kilimani",14600000
2,2.0,Kileleshwa,11000000
3,,"Kitisuru, Westlands",11000000
2,2.0,"Waiyaki Way, Westlands",6700000
2,3.0,"KILIMANI, Kilimani",14000000
1,1.0,"Westlands Area, Westlands",6000000
3,3.0,Kilimani,11000000
3,3.0,"Parklands, Westlands",22500000
1,1.0,Kilimani,4000000
1,2.0,"WESTLAND, Rhapta Road, Westlands",15000000
4,5.0,"0108J, Valley Arcade Lavington, Valley Arcade",55000000
3,3.0,"0108J, Westlands Nairobi(COMPLETION APRIL 2025), Westlands Area, Westlands",18000000
2,2.0,Lavington,7000000
1,1.0,Lavington,5000000
3,3.0,"0108J, Lavington Estate Nairobi, Lavington",17000000
3,4.0,"Westlands Area, Westlands",22000000
2,1.0,"Syokimau, Mombasa Road",5900000
1,1.0,"Syokimau, Mombasa Road",4000000
1,1.0,"Syokimau, Mombasa Road",4500000
3,3.0,"Westlands Area, Westlands",11800000
2,2.0,"Westlands Area, Westlands",9000000
2,1.0,"Riverside, Westlands",7900000
2,2.0,"Westlands Area, Westlands",11000000
1,1.0,"Westlands Area, Westlands",5000000
1,1.0,"Westlands Area, Westlands",6000000
2,2.0,"Mpaka Road, Westlands Area, Westlands",11800000
3,,"Westlands Area, Westlands",31059000
3,1.0,Thika Road,17000000
1,1.0,Thika Road,9700000
2,2.0,"Westlands Road, Westlands Area, Westlands",12500000
2,2.0,"Muthangari Drive, Westlands Area, Westlands",16000000
2,2.0,"Westlands Road, Westlands Area, Westlands",12700000
2,2.0,"Sports Road, Westlands Area, Westlands",11000000
2,2.0,"Westlands Road, Westlands Area, Westlands",12600000
2,2.0,"Rhapta Road, Westlands Area, Westlands",11900000
3,3.0,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",19800000
4,4.0,"General Mathenge, Westlands Area, Westlands",51500000
1,1.0,"Westlands Road, Westlands Area, Westlands",9120000
2,2.0,"Riverside, Westlands",25000000
2,2.0,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",10500000
1,1.0,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",7900000
4,4.0,"0108J, Shanzu Road Spring Valley Nairobi, Spring Valley, Westlands",58000000
3,3.0,"0108J, Fourth Parklands Nairobi, Parklands, Westlands",20000000
2,2.0,"Mombasa Road, Mombasa Road",7500000
1,1.0,"Kindaruma Road, Kindaruma, KIlimani, Kilimani",4800000
1,1.0,"Westlands Road, Westlands Area, Westlands",7900000
0,1.0,"Kilimani, Kilimani",4900000
2,2.0,Kileleshwa,11000000
1,1.0,"Mahiga Mairu Road, Westlands Area, Westlands",7700000
3,3.0,"Riverside, Westlands",17000000
4,5.0,Kileleshwa,21000000
0,,"Garden City, Thika Road",2900000
2,2.0,"Westlands Area, Westlands",14160000
0,,"Ndwaru Road, Naivasha Road",2700000
4,5.0,Kileleshwa,20000000
3,3.0,Kileleshwa,11000000
3,4.0,"LAVINGTON, Lavington",22200000
2,2.0,"LAVINGTON, Lavington",7800000
2,2.0,"LAVINGTON, Lavington",8600000
4,4.0,"LAVINGTON, Lavington",22000000
2,1.0,Kileleshwa,7000000
3,4.0,"Kileleshwa, Kileleshwa",22000000
4,5.0,"KILELESHWA, Kileleshwa",22000000
0,1.0,"Westlands Area, Westlands",6600000
4,5.0,"KILELESHWA, Kileleshwa",22000000
4,5.0,"Kileleshwa, Kileleshwa",30000000
3,3.0,"WESTLANDS, Westlands Area, Westlands",16000000
3,3.0,"KAREN, Karen",16000000
4,5.0,Lavington,20000000
2,2.0,"KIRICHWA, Kilimani",8300000
3,3.0,Lavington,13000000
4,4.0,"Ndemi Road, Kilimani",25270000
3,4.0,"Garden Estate, Roysambu",24500000
2,1.0,Lavington,7000000
1,1.0,Lavington,4000000
1,1.0,Lavington,5000000
2,,"Westlands Area, Westlands",12532788
4,4.0,"KILIMANI, Kilimani",14800000
0,1.0,"NGONG ROAD, Dagoretti Corner",1900000
0,1.0,"NGONG ROAD, Ngong Road",1900000
0,1.0,"KILIMANI, Kilimani",1900000
2,2.0,"LAVINGTON, Lavington",10800000
3,4.0,"LAVINGTON, Lavington",22500000
2,2.0,"LAVINGTON, Lavington",8500000
2,2.0,"LAVINGTON, Lavington",11000000
3,3.0,"0108J, Kileleshwa Estate Nairobi, Kileleshwa",14500000
2,2.0,"Lower Kabete, Westlands",6800000000
2,2.0,"WESTLANDS, Westlands Area, Westlands",10000000
1,1.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",5500000
2,2.0,"WESTLANDS, Westlands Area, Westlands",12000000
2,2.0,"WESTLANDS, Westlands Area, Westlands",11700000
2,1.0,Lavington,7000000
4,5.0,"KILELESHWA, Kileleshwa",23000000
2,2.0,"KILELESHWA, Kileleshwa",7800000
2,2.0,"KILELESHWA, Kileleshwa",9000000
4,4.0,"KILELESHWA, Kileleshwa",22000000
2,3.0,"KILIMANI, Kilimani",8600000
2,2.0,"KILIMANI, Kilimani",7500000
2,2.0,"KILIMANI, Kilimani",7000000
4,,"General Mathenge, Westlands",43000000
2,2.0,"Westlands Area, Westlands",13000000
2,3.0,"Mpaka Rd, Westlands Area, Westlands",12000000
2,2.0,"Muthangari Rd, Westlands Area, Westlands",16500000
3,5.0,"Westlands, Riverside",21000000
5,7.0,Kileleshwa,41000000
3,3.0,"Westlands, Westlands Area",21000000
4,4.0,"Westlands, Westlands Area",24000000
3,3.0,Kilimani,23000000
4,4.0,Lavington,29000000
4,4.0,Kilimani,26300000
1,,"Roysambu(Mirema Drive), Thika Road",5200000
2,3.0,South C,6900000
3,4.0,"5th Parklands, Parklands, Westlands",22000000
3,2.0,Kileleshwa,18750000
2,2.0,"Westlands, Westlands Area, Westlands",14500000
1,1.0,Lavington,6500000
2,1.0,Ngong Road,5000000
4,4.0,"Westlands Area, Westlands",33000000
4,4.0,"Westlands Area, Westlands",33000000
1,1.0,Ngong Road,1900000
3,4.0,"Riverside, Westlands",13000000
2,2.0,"Riverside, Westlands",13000000
3,4.0,"Riverside, Westlands",19000000
4,4.0,Kilimani,32000000
4,5.0,Kileleshwa,20000000
4,4.0,Kilimani,26000000
3,3.0,Kileleshwa,11000000
2,1.0,Kileleshwa,7000000
1,1.0,Kilimani,4000000
1,1.0,Kileleshwa,4000000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",8000000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",12500000
3,4.0,"RIVERSIDE, Riverside, Westlands",20500000
3,3.0,Lavington,11000000
1,1.0,Lavington,5000000
3,4.0,"KILELESHWA, Kileleshwa",15500000
3,4.0,"KILELESHWA, Kileleshwa",22200000
4,4.0,"KILELESHWA, Kileleshwa",22000000
3,4.0,"KILELESHWA, Kileleshwa",19500000
1,1.0,"KILIMANNI, KILIMANI, Kilimani",5500000
3,4.0,"KILIMANI, Kilimani",22500000
2,3.0,"KILIMANI, Kilimani",14000000
2,2.0,"KILIMANI, Kilimani",8000000
1,1.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",6500000
1,1.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",7800000
2,2.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",11900000
4,4.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",22200000
3,4.0,"RIVERSIDE, Riverside, Westlands",20500000
1,1.0,"0107J, Westlands Nairobi(UNDER CONSTRUCTION), Westlands Area, Westlands",6400000
2,2.0,"0107J, Westlands Nairobi(UNDER CONSTRUCTION), Westlands Area, Westlands",11200000
2,2.0,"0107J, Westlands(Under Construction), Westlands Area, Westlands",15200000
1,1.0,"0107J, Westlands(Under Construction), Westlands Area, Westlands",8120000
2,1.0,Lavington,7000000
2,2.0,Kilimani,12400000
4,5.0,Kileleshwa,29500000
4,4.0,Kileleshwa,22800000
1,1.0,"Westlands Area, Westlands",9600000
1,1.0,"Westlands Area, Westlands",8500000
2,2.0,"Westlands Area, Westlands",15000000
4,5.0,Kilimani,28300000
1,1.0,Kileleshwa,4200000
2,2.0,Kileleshwa,13500000
3,4.0,"Westlands Area, Westlands",25000000
3,4.0,Kilimani,23000000
2,2.0,Kilimani,9500000
3,4.0,"Riverside, Westlands",40300000
2,2.0,Lavington,13500000
1,1.0,"Westlands Area, Westlands",11400000
1,1.0,Lavington,6700000
2,2.0,"LAVINGTON, Lavington",7800000
2,2.0,"KILELESHWA, Kileleshwa",7800000
3,4.0,"KILELESHWA, Kileleshwa",11500000
4,4.0,"KILELESHWA, Kileleshwa",22000000
4,4.0,"KILIMANI, Kilimani",14600000
3,3.0,"0107J, Off - Genaral Mathenge Drive(Completion May 2025), Spring Valley, Westlands",23200000
2,1.0,Lavington,7000000
4,4.0,"0107J, Off - Genaral Mathenge Drive(Completion May 2025), Spring Valley, Westlands",29500000
2,2.0,"KILIMANI, Kilimani",7000000
2,3.0,"KILIMANI, Kilimani",14000000
2,2.0,"LAVINGTON, Lavington",9000000
2,2.0,"KILIMANI, Kilimani",9000000
2,2.0,"KILIMANI, Kilimani",8600000
2,2.0,"LAVINGTON, Lavington",8600000
3,3.0,"0106J, Kileleshwa Estate(Under Construction), Kileleshwa",19500000
2,2.0,"LAVINGTON, Lavington",11000000
3,4.0,"LAVINGTON, Lavington",22500000
1,1.0,"LAVINGTON, Lavington",7800000
2,2.0,"LAVINGTON, Lavington",9800000
2,2.0,"0107J, Kileleshwa Estate(Under Construction), Kileleshwa",13000000
1,1.0,"0107J, Kileleshwa Estate(Under Construction), Kileleshwa",7500000
2,2.0,"Riverside, Westlands",13000000
2,2.0,"Padmore Road, Kilimani",12000000
3,3.0,"Riverside, Westlands",17000000
3,3.0,"Riverside, Westlands",19000000
1,1.0,Kilimani,4000000
4,5.0,"Westlands Area, Westlands",84000000
1,1.0,Kileleshwa,4000000
10,10.0,Kileleshwa,750000000
3,3.0,Lavington,11000000
3,3.0,Lavington,11000000
4,4.0,Kileleshwa,260000
0,1.0,Kileleshwa,10000000
1,1.0,"LAVINGTON, Lavington",7000000
2,2.0,"Westlands, Westlands Area, Westlands",12500000
2,2.0,"LAVINGTON, Lavington",8800000
2,2.0,"KILELESHWA, Kileleshwa",7800000
1,1.0,"KILIMANI, Kilimani",4800000
1,1.0,"KILIMANI, Kilimani",4800000
2,2.0,"KILIMANI, Kilimani",7800000
0,1.0,"NGONG ROAD, Ngong Road",1900000
0,1.0,"NGONG ROAD, Dagoretti Corner",1900000
0,1.0,"NGONG ROAD, Kilimani",1900000
1,1.0,"Westlands Area, Westlands",7900000
2,2.0,"Westlands Area, Westlands",14150000
3,3.0,"Westlands, Westlands Area",15500000
5,6.0,Lavington,33000000
5,6.0,Kilimani,33000000
1,1.0,"CHURCH ROAD, Westlands Area, Westlands",5500000
2,2.0,"WESTLANDS, Westlands Area, Westlands",11700000
4,4.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",14500000
4,4.0,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",21200000
4,5.0,Kilimani,31000000
4,5.0,Lavington,42000000
4,5.0,"KILELESHWA, Kileleshwa",24500000
2,2.0,"KILELESHWA, Kileleshwa",7800000
3,4.0,"KILELESHWA, Kileleshwa",11500000
3,3.0,Kilimani,20000000
4,6.0,"Kil, Kileleshwa",28000000
1,1.0,"Garden Estate, Roysambu",10000000
1,1.0,"Garden Estate, Roysambu",6700000
4,3.0,"General Mathenge, Westlands",22000000
1,1.0,Lavington,5137860
2,2.0,Lavington,12381070
0,1.0,Kileleshwa,10000000
3,3.0,Kilimani,25000000
1,1.0,"Westlands Area, Westlands",7800000
2,2.0,"Westlands Area, Westlands",14500000
2,2.0,South C,55000000
1,2.0,"PQ9J+G3V, Nyeri Rd, Kileleshwa",6000000
2,3.0,"PQ9J+G3V, Kileleshwa Nyeri Rd, Kileleshwa",11000000
3,4.0,"PQ9J+G3V, Kileleshwa Nyeri Rd, Kileleshwa",16500000
3,4.0,Lavington,15000000
2,3.0,Lavington,12000000
2,3.0,Lavington,11000000
1,2.0,Lavington,7000000
3,3.0,"Westlands Area, Westlands",28500000
3,3.0,"0106J, Kilimani Estate, Kilimani",33000000
3,4.0,"KILELESHWA, Kileleshwa",19500000
2,2.0,"0106J, Near Sarit Centre, Westlands Area, Westlands",13500000
4,4.0,"Westlands Area, Westlands",76000000
0,1.0,"0106J, Kileleshwa Estate, Kileleshwa",6500000
2,2.0,"0106J, Denis Pritt, Kilimani",16200000
3,2.0,"Heri Road, Nyayo Estate, Embakasi",7500000
3,2.0,Kileleshwa,27000000
4,4.0,Kileleshwa,20000000
3,3.0,Lavington,13000000
2,1.0,Lavington,7500000
1,1.0,Lavington,5000000
5,5.0,"KILELESHWA, Kileleshwa",30000000
4,5.0,"KILELESHWA, Kileleshwa",24600000
5,,"KILIMANI, Kilimani",33500000
4,3.0,"Githuri Road, Parklands, Westlands",33000000
4,4.0,"Ngao Road, Parklands, Westlands",28000000
3,2.0,"Githuri Road, Parklands, Westlands",23000000
3,3.0,Valley Arcade,26000000
3,3.0,"Sierra Brooks Complex, Brookside, Westlands",24000000
4,5.0,"KILIMANI, Kilimani",26300000
3,3.0,Muthaiga,45000000
4,4.0,"KILIMANI, Kilimani",17000000
1,1.0,Lavington,6500000
1,1.0,"Westlands Area, Westlands",30000000
2,2.0,"Waiyaki Way, Westlands",36000000
3,3.0,"Westlands Area, Westlands",39000000
2,2.0,"Brookside, Westlands",19500000
3,2.0,"Brookside, Westlands",22500000
3,2.0,"Garden Estate, Roysambu",14000000
2,2.0,"Garden Estate, Roysambu",7800000
1,1.0,"Garden Estate, Roysambu",5300000
0,1.0,"Garden Estate, Roysambu",3200000
0,1.0,"Garden Estate, Roysambu",2700000
3,3.0,"Westlands Area, Westlands",13500000
3,3.0,"Westlands Area, Westlands",14500000
0,1.0,"Waiyaki Way, Westlands",6150000
1,1.0,"Westlands Area, Westlands",8200000
2,2.0,"Waiyaki Way, Westlands",14500000
3,2.0,"Westlands Area, Westlands",31000000
3,2.0,Imara Daima,7500000
4,4.0,Kileleshwa,23000000
2,2.0,"Riverside, Westlands",24300000
3,3.0,"Riverside, Westlands",37900000
3,4.0,"KILELESHWA, Kileleshwa",18000000
3,4.0,Kileleshwa,21500000
