Bedrooms,Bathrooms,Location,Price
3,4.0,Westlands,20900000
2,2.0,Kileleshwa,13500000
4,4.0,Kilimani,13000000
0,1.0,Westlands,6800000
2,2.0,Uthiru,8000000
3,3.0,Westlands,19800000
2,2.0,Riverside,13000000
3,3.0,Westlands,27000000
3,2.0,Westlands,20500000
2,3.0,Westlands,15000000
2,2.0,Kilimani,7000000
2,3.0,Ruaraka,8200000
3,4.0,Westlands,21000000
1,1.0,Thika,5500000
3,3.0,Lavington,22000000
2,3.0,Kilimani,9000000
2,2.0,Kilimani,11000000
2,3.0,Westlands,12500000
2,2.0,Kilimani,14500000
3,3.0,Kileleshwa,11000000
4,5.0,Kileleshwa,20000000
1,1.0,Westlands,5500000
2,2.0,Lavington,8600000
1,1.0,Kileleshwa,4200000
0,1.0,Ngara,2700000
2,1.0,Athiriver,5000000
3,4.0,Westlands,23000000
2,2.0,Kilimani,8600000
3,3.0,Kileleshwa,25000000
2,3.0,South C,6900000
0,1.0,Dagoretti,1900000
3,3.0,Westlands,16000000
2,2.0,Kilimani,9000000
3,4.0,Kileleshwa,18000000
2,3.0,Kilimani,12000000
2,2.0,Westlands,11900000
4,4.0,Kilimani,26000000
4,4.0,Lavington,37000000
4,5.0,Westlands,84000000
1,2.0,Westlands,9120000
0,,Westlands,0
4,5.0,Westlands,31000000
1,1.0,Westlands,6500000
3,3.0,Kilimani,23000000
0,1.0,Mombasa Road,3650000
3,4.0,Riverside,20500000
2,1.0,Kilimani,6800000
2,2.0,Kilimani,7500000
2,1.0,Lavington,7000000
2,2.0,Westlands,12500000
4,5.0,Kileleshwa,22000000
2,2.0,Westlands,11000000
1,2.0,Kilimani,7500000
4,5.0,Kilimani,28300000
3,3.0,Kilimani,12000000
2,3.0,Westlands,18000000
3,2.0,Dennis Pritt,30000000
2,2.0,Kilimani,11000000
3,2.0,Roysambu,14000000
2,2.0,Westlands,10000000
1,1.0,Kilimani,14000000
3,3.0,Spring Valley,23200000
2,2.0,Lavington,7500000
2,2.0,Westlands,5500000
3,3.0,Kileleshwa,22500000
1,1.0,Lavington,6930000
1,1.0,Kilimani,7450000
3,3.0,Lavington,11000000
3,3.0,Parklands,28000000
3,3.0,Riverside,25000000
1,1.0,Kileleshwa,6000000
1,2.0,Westlands,7500000
1,1.0,Westlands,5500000
2,3.0,Kilimani,10500000
2,,Roysambu,88000000
3,4.0,Riverside,55000000
2,2.0,Westlands,12500000
2,2.0,Westlands,12500000
3,3.0,Westlands,19500000
2,2.0,Westlands,14150000
2,2.0,Westlands,12600000
3,3.0,Kilimani,22500000
2,2.0,Westlands,30400000
3,4.0,Kileleshwa,15500000
0,1.0,Roysambu,3200000
4,6.0,Spring Valley,31000000
2,2.0,Lavington,7500000
2,2.0,Westlands,11800000
2,2.0,Westlands,11700000
3,3.0,Parklands,23000000
3,4.0,Parklands,22000000
5,,Kilimani,33500000
3,4.0,Riverside,38500000
2,2.0,Lavington,6900000
1,2.0,Riverside,20000000
4,5.0,Lavington,20000000
2,2.0,Kilimani,7500000
4,4.0,Loresho,66000000
2,2.0,Mombasa Road,6000000
3,4.0,Westlands,23000000
3,3.0,Parklands,43000000
4,3.0,Lavington,18000000
4,5.0,Kileleshwa,20000000
2,1.0,Mombasa Road,5900000
4,,Westlands,43000000
2,2.0,Westlands,15000000
3,4.0,Lavington,13600000
3,4.0,Lavington,15000000
2,2.0,Kileleshwa,7800000
1,1.0,Kilimani,5200000
2,4.0,Kilimani,13900000
4,5.0,Kileleshwa,21500000
3,3.0,Westlands,32000000
1,1.0,Riara,4500000
1,1.0,Westlands,13000000
2,2.0,Lavington,26000000
4,4.0,Westlands,76000000
3,3.0,Kilimani,14000000
3,4.0,Westlands,18200000
3,3.0,Westlands,14500000
3,3.0,Westlands,21000000
2,2.0,Kilimani,11800000
3,4.0,Kilimani,23000000
2,2.0,Westlands,14500000
3,4.0,Roysambu,24500000
2,2.0,Lower Kabete,6800000000
0,1.0,Kilimani,1900000
2,3.0,Kilimani,11500000
1,1.0,Westlands,9600000
1,1.0,Lavington,5137860
4,4.0,Westlands,35000000
1,1.0,Westlands,8450000
