iter	RMSE
0	9603222.804
1	9461860.819
2	9294825.542
3	9125544.678
4	8978010.518
5	8844053.309
6	8705479.685
7	8566527.546
8	8452387.351
9	8336393.67
10	8218903.689
11	8116170.485
12	8031167.816
13	7948720.614
14	7861454.485
15	7781631.254
16	7709094.005
17	7634810.191
18	7579630.929
19	7513897.739
20	7441965.087
21	7383906.984
22	7324175.964
23	7274119.488
24	7219458.387
25	7165558.805
26	7117124.386
27	7064985.027
28	7029725.566
29	6987382.585
30	6958080.73
31	6907839.823
32	6867935.87
33	6841775.752
34	6807782.935
35	6786148.77
36	6746555.316
37	6710925.821
38	6691090.423
39	6666465.115
40	6643461.78
41	6622297.324
42	6593006.255
43	6569320.514
44	6540853.496
45	6518054.179
46	6502438.677
47	6488913.826
48	6470743.004
49	6450437.111
50	6438849.3
51	6417065.529
52	6396305.979
53	6380062.192
54	6367587.03
55	6352416.367
56	6332536.133
57	6315896.35
58	6304527.471
59	6288279.764
60	6271312.42
61	6259881.505
62	6249201.065
63	6239574.256
64	6228781.059
65	6221256.7
66	6208710.969
67	6201969.755
68	6198891.704
69	6188850.3
70	6182447.564
71	6170566.195
72	6163179.298
73	6157820.934
74	6154087.377
75	6145493.208
76	6139204.694
77	6136250.316
78	6129353.422
79	6120461.5
80	6113402.228
81	6110791.33
82	6104563.775
83	6099620.509
84	6093403.628
85	6087410.04
86	6083512.965
87	6080145.153
88	6074495.197
89	6068432.308
90	6065842.874
91	6061649.144
92	6053465.671
93	6049290.655
94	6045711.443
95	6042235.789
96	6035686.223
97	6030945.464
98	6027783.384
99	6023566.047
100	6020843.695
101	6016798.841
102	6014128.115
103	6010603.176
104	6008787.028
105	6003945.783
106	6001513.362
107	5998577.757
108	5994080.763
109	5991275.747
110	5990881.705
111	5985491.418
112	5982656.033
113	5978664.902
114	5975661.288
115	5971417.334
116	5968146.334
117	5965232.58
118	5962201.232
119	5959947.878
120	5958091.835
121	5953996.156
122	5951253.657
123	5949272.842
124	5946190.15
125	5944026.964
126	5938323.942
127	5937788.157
128	5933640.274
129	5931410.393
130	5928558.628
131	5926744.889
132	5926196.123
133	5923571.418
134	5920845.529
135	5918479.162
136	5916298.299
137	5912355.925
138	5910017.452
139	5908157.507
140	5906499.692
141	5904520.499
142	5900865.078
143	5898655.422
144	5898097.547
145	5896588.91
146	5895026.001
147	5893908.291
148	5892329.941
149	5889927.263
150	5888349.791
151	5886894.447
152	5886005.284
153	5885089.459
154	5882679.539
155	5881749.004
156	5880625.502
157	5877023.271
158	5875489.459
159	5874679.594
160	5872924.257
161	5871482.427
162	5870032.719
163	5867231.014
164	5865575.898
165	5864153.372
166	5862166.965
167	5861092.285
168	5860593.61
169	5859313.975
170	5855269.155
171	5853677.395
172	5851508.78
173	5849847.303
174	5848397.562
175	5846552.723
176	5845973.886
177	5844217.519
178	5842636.929
179	5840993.203
180	5839370.309
181	5837410.347
182	5835658.682
183	5834186.595
184	5832939.026
185	5830698.494
186	5829754.942
187	5827827.984
188	5826568.582
189	5825883.936
190	5824510.227
191	5823270.038
192	5821492.013
193	5819670.018
194	5818239.378
195	5815420.986
196	5814543.367
197	5813392.01
198	5812076.238
199	5810120.376
200	5808775.846
201	5808393.054
202	5807536.911
203	5806438.413
204	5805245.53
205	5804243.739
206	5801315.016
207	5799654.118
208	5797635.747
209	5796578.613
210	5795557.929
211	5793217.272
212	5791865.087
213	5790636.205
214	5789443.965
215	5788635.383
216	5786046.864
217	5784957.323
218	5783899.984
219	5782743.521
220	5779819.413
221	5778734.633
222	5777303.915
223	5776325.099
224	5774678.189
225	5773174.001
226	5771719.371
227	5769928.195
228	5768951.549
229	5767995.966
230	5767277.312
231	5766388.059
232	5765493.283
233	5763253.237
234	5761950.283
235	5761239.497
236	5760144.866
237	5759033.279
238	5758412.624
239	5757626.054
240	5756897.386
241	5754692.359
242	5753957.747
243	5752376.702
244	5750824.191
245	5749497.851
246	5748814.659
247	5748113.399
248	5746335.067
249	5745769.019
250	5744944.946
251	5744354.769
252	5743310.332
253	5741567.437
254	5741031.216
255	5740178.959
256	5739626.314
257	5739060.739
258	5737671.74
259	5737191.748
260	5735635.386
261	5734733.657
262	5732935.396
263	5732242.914
264	5731860.919
265	5731437.47
266	5731018.369
267	5730562.244
268	5729652.07
269	5729245.344
270	5728826.211
271	5727671.685
272	5727363.483
273	5726324.259
274	5725954.831
275	5724901.368
276	5723227.103
277	5722810.554
278	5722122.943
279	5721416.559
280	5720850.769
281	5720157.041
282	5719843.852
283	5718495.709
284	5717678.199
285	5716171.56
286	5715842.87
287	5715354.797
288	5715052.739
289	5714824.698
290	5713970.331
291	5713589.235
292	5712771.73
293	5711429.121
294	5710122.355
295	5709165.022
296	5708807.548
297	5707974.734
298	5707344.873
299	5707013.163
300	5706666.347
301	5706040.919
302	5705569.225
303	5705389.002
304	5704932.96
305	5704524.005
306	5704220.855
307	5702781.466
308	5701419.256
309	5701212.093
310	5700668.072
311	5700398.93
312	5698933.312
