iter	Passed	Remaining
0	1	1683
1	3	1648
2	4	1544
3	5	1432
4	6	1372
5	8	1377
6	9	1322
7	10	1273
8	10	1200
9	11	1173
10	13	1196
11	14	1198
12	15	1189
13	17	1210
14	18	1202
15	19	1199
16	20	1203
17	21	1195
18	23	1199
19	24	1193
20	25	1200
21	26	1189
22	27	1177
23	28	1177
24	30	1180
25	31	1190
26	33	1201
27	35	1215
28	36	1217
29	38	1234
30	39	1227
31	40	1223
32	42	1238
33	43	1243
34	44	1220
35	45	1228
36	46	1213
37	47	1208
38	49	1218
39	51	1224
40	52	1234
41	53	1230
42	55	1227
43	56	1233
44	58	1240
45	60	1249
46	62	1258
47	63	1267
48	65	1274
49	66	1270
50	68	1266
51	69	1268
52	70	1263
53	72	1269
54	74	1274
55	75	1278
56	77	1283
57	79	1286
58	80	1289
59	81	1282
60	83	1281
61	84	1279
62	86	1283
63	88	1289
64	90	1295
65	91	1301
66	93	1301
67	95	1303
68	95	1294
69	97	1290
70	98	1287
71	99	1281
72	101	1286
73	103	1292
74	104	1293
75	106	1289
76	108	1294
77	109	1299
78	111	1299
79	112	1290
80	113	1286
81	114	1284
82	116	1289
83	118	1294
84	120	1298
85	122	1302
86	124	1306
87	126	1306
88	127	1304
89	128	1299
90	130	1299
91	131	1300
92	133	1300
93	135	1301
94	136	1303
95	138	1303
96	139	1296
97	140	1295
98	141	1286
99	142	1283
100	143	1276
101	144	1269
102	146	1271
103	147	1271
104	149	1271
105	151	1273
106	152	1273
107	154	1275
108	155	1274
109	157	1271
110	158	1273
111	160	1269
112	161	1270
113	163	1271
114	165	1274
115	167	1274
116	169	1278
117	171	1279
118	173	1281
119	174	1282
120	176	1284
121	178	1285
122	180	1286
123	182	1288
124	184	1289
125	186	1290
126	188	1292
127	189	1293
128	191	1295
129	193	1295
130	195	1296
131	197	1296
132	198	1295
133	200	1295
134	201	1291
135	203	1289
136	204	1288
137	206	1288
138	207	1287
139	209	1288
140	211	1289
141	213	1289
142	215	1288
143	216	1288
144	218	1287
145	220	1287
146	221	1288
147	223	1288
148	225	1288
149	227	1288
150	229	1288
151	230	1287
152	232	1287
153	234	1286
154	235	1286
155	237	1285
156	239	1285
157	241	1285
158	243	1285
159	244	1285
160	246	1284
161	248	1284
162	250	1283
163	251	1281
164	253	1281
165	254	1280
166	256	1280
167	258	1280
168	260	1279
169	261	1279
170	263	1275
171	264	1274
172	266	1272
173	268	1273
174	269	1270
175	270	1267
176	272	1265
177	273	1264
178	275	1264
179	277	1263
180	278	1261
181	280	1260
182	282	1259
183	283	1258
184	285	1258
185	287	1257
186	289	1256
187	290	1255
188	292	1254
189	294	1254
190	296	1253
191	297	1253
192	299	1253
193	301	1252
194	303	1251
195	304	1250
196	306	1249
197	308	1248
198	310	1247
199	311	1245
200	312	1241
201	313	1238
202	315	1237
203	316	1235
204	318	1233
205	320	1233
206	321	1233
207	323	1232
208	325	1231
209	327	1231
210	329	1231
211	331	1230
212	332	1230
213	334	1229
214	336	1228
215	338	1227
216	340	1227
217	342	1226
218	343	1226
219	345	1226
220	347	1225
221	349	1224
222	351	1224
223	353	1223
224	354	1221
225	356	1220
226	358	1219
227	359	1218
228	361	1217
229	363	1216
230	365	1216
231	367	1215
232	368	1212
233	369	1208
234	370	1204
235	371	1202
236	372	1199
