Bedrooms,Bathrooms,Location,Price
3,3,"Parklands, Westlands",28000000
1,1,Lavington,6500000
0,1,"Ngara, Parklands, Westlands",2700000
2,1,Ngong Road,5400000
1,1,Ngong Road,4000000
3,3,Mombasa Road,7000000
2,1,"Athiriver, Mombasa Road",5000000
3,2,"Athiriver, Mombasa Road",7200000
2,1,"Syokimau, Mombasa Road",5900000
3,4,"Riverside, Westlands",19000000
3,4,"Riverside, Westlands",17000000
1,1,"Riverside, Westlands",12500000
1,1,"Riverside, Westlands",8000000
2,1,"Riverside, Westlands",7900000
2,2,"Riverside, Westlands",13000000
3,3,"Westlands Area, Westlands",11800000
3,3,"Westlands Area, Westlands",11800000
3,4,"Westlands Area, Westlands",22000000
2,2,"Westlands Area, Westlands",9000000
2,2,"Westlands Area, Westlands",10500000
2,1,"Westlands Area, Westlands",7900000
1,1,"Westlands Area, Westlands",6000000
1,1,"Westlands Area, Westlands",5000000
1,1,"Westlands Area, Westlands",6000000
4,5,Kileleshwa,21000000
0,1,"Syokimau Near 67 Airport Hotel, Mombasa Road",3650000
1,1,"Westlands Area, Westlands",6800000
5,6,Kilimani,35000000
4,5,Kileleshwa,20000000
4,5,Kileleshwa,20000000
3,3,Kileleshwa,11000000
3,3,Kileleshwa,13000000
3,3,Kileleshwa,11000000
2,1,Kileleshwa,7000000
2,1,Kileleshwa,6900000
2,1,Kileleshwa,7000000
1,1,Kileleshwa,4000000
1,1,Kileleshwa,4000000
1,1,Kileleshwa,5000000
4,5,Kilimani,31000000
4,4,Kilimani,13000000
4,5,Kilimani,17000000
3,3,Kilimani,11000000
3,3,Kilimani,11000000
3,3,Kilimani,11000000
1,1,"3rd Parklands, Parklands, Westlands",6500000
2,1,Kilimani,7000000
2,1,Kilimani,6800000
2,2,Kilimani,6900000
3,3,Lavington,13000000
2,1,"Westlands Area, Westlands",11850000
3,4,"Nyeri Road, Kileleshwa",11800000
3,4,Upper Hill,25000000
3,3,Lavington,11000000
3,3,Lavington,11000000
2,1,Lavington,7000000
2,2,Lavington,6900000
2,2,Lavington,7000000
3,,"Westlands Area, Westlands",35500000
0,,"KILIMANI, Kilimani",5000000
1,1,"KILELESHWA, Kileleshwa",6000000
3,4,Kilimani,24000000
3,3,"KILELESHWA, Kileleshwa",11500000
1,1,"119, Kibichiku, Lower Kabete, Westlands",4200000
1,1,"119, KIBICHIKU, Lower Kabete, Westlands",4200000
2,2,Lavington,26000000
3,3,Kileleshwa,30000000
2,2,"KILELESHWA, Kileleshwa",8500000
3,3,"KILELESHWA, Kileleshwa",16000000
3,3,"WESTLANDS, Westlands Area, Westlands",16000000
3,3,"KAREN, Karen",16000000
4,4,"KILIMANI, Kilimani",14600000
3,3,"KILIMANI, Kilimani",12000000
0,1,"NGONG ROAD, NGONG ROAD, Ngong Road",1900000
0,1,"NGONG ROAD, Dagoretti Corner",1900000
2,2,Kilimani,8780000
3,5,Lavington,20000000
1,,"Westlands Area, Westlands",9120000
0,1,"NGONG ROAD, Kilimani",1900000
1,1,"GTC, WESTLANDS, Westlands Area, Westlands",6500000
2,2,"GTC, WESTLANDS, Westlands Area, Westlands",8000000
1,1,"Westlands, Westlands Area, Westlands",5500000
2,2,Kilimani,16100000
4,4,"Westlands, WESTLANDS, Westlands Area, Westlands",14000000
3,4,"LAVINGTON, Lavington",22500000
3,3,"KILELESHWA, Kileleshwa",13000000
3,3,"LAVINGTON, Lavington",13000000
2,2,"LAVINGTON, Lavington",10800000
2,2,"LAVINGTON, Lavington",8500000
2,2,"Westlands, WESTLANDS, Westlands Area, Westlands",10000000
3,3,"GTC, WESTLANDS, Westlands Area, Westlands",15000000
2,2,"GTC, WESTLANDS, Westlands Area, Westlands",11700000
1,1,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",5500000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",8000000
2,2,"WESTLANDS, Westlands Area, Westlands",11700000
2,2,"WESTLANDS, WESTANDS, Westlands Area, Westlands",12000000
4,4,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",21200000
3,4,"General Mathenge, Westlands",22000000
3,3,"Riverside, Westlands",39000000
2,2,"Kindaruma Road, Kilimani",12750000
2,2,"Westlands Area, Westlands",18000000
3,4,Kilimani,24000000
2,2,"Off Wood Avenue Lenana, Kilimani",7800000
2,2,"KILIMANI, Kilimani",8600000
2,2,"KILIMANI, Kilimani",8500000
0,1,"KILIMANI, Kilimani",5000000
2,2,"KILIMANI, Kilimani",7500000
4,4,"KILELESHWA, Kileleshwa",22000000
4,5,"KILELESHWA, Kileleshwa",23000000
2,2,"KILELESHWA, Kileleshwa",7800000
3,4,"KILELESHWA, Kileleshwa",15500000
3,3,"3rd Parklands, Parklands, Westlands",12000000
3,4,"Westlands Area, Westlands",23200000
2,2,Kilimani,9500000
3,4,Kileleshwa,20500000
3,3,Kileleshwa,17500000
3,3,Kileleshwa,27000000
3,3,"Riverside, Westlands",35000000
4,5,"Westlands, Spring Valley",35500000
3,3,"Westlands Area, Westlands",22000000
2,2,"Westlands Area, Westlands",11000000
2,3,Kilimani,10500000
2,2,"Westlands Area, Westlands",7900000
4,5,Kilimani,26000000
4,4,Kilimani,13000000
4,4,Lavington,21000000
